Measurement Date,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Day,Measurement Month,Measurement Year,Measurement Hour,Latitude,Longitude,class
2013-03-09,22.549999999999997,4.3,0.2075,6.5,9.4,3.0,9.0,2013.0,9.5,41.804533500000005,-87.5702195,0
2013-08-30,20.3,1.18,0.08,3.0,9.4,30.0,8.0,2013.0,8.0,41.969094,-87.638003,0
2013-08-31,21.5,3.51,0.231,4.0,9.4,31.0,8.0,2013.0,23.0,41.987675,-87.651008,0
2013-09-18,18.9,7.56,0.14,4.0,11.0,18.0,9.0,2013.0,10.0,41.784561,-87.571453,1
2014-01-06,17.158333333333335,1.0045833333333334,0.14658333333333332,3.3958333333333335,11.652083333333332,1.0,6.0,2014.0,11.5,41.8419165,-87.58267949999998,0
2014-01-07,16.98141592920354,2.045575221238938,0.13443362831858408,3.495575221238938,10.722123893805309,1.0,7.0,2014.0,10.044247787610619,41.857003477876106,-87.5938897699115,0
2014-01-08,19.884375000000002,2.3584375,0.10190624999999999,4.666666666666667,11.0625,1.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
2014-01-09,20.116666666666667,8.458333333333334,0.11072916666666667,4.520833333333333,9.027083333333334,1.0,9.0,2014.0,11.5,41.931711,-87.625543,1
2014-02-06,17.466666666666665,0.6585416666666667,0.10520833333333333,3.3125,11.616666666666667,2.0,6.0,2014.0,11.5,41.8419165,-87.58267949999998,0
2014-02-07,16.740972222222222,1.4252777777777779,0.16040277777777778,4.166666666666667,10.681249999999999,2.0,7.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
2014-02-08,20.693478260869565,2.0361956521739133,0.13543478260869565,3.8043478260869565,11.007608695652175,2.0,8.0,2014.0,11.521739130434783,41.891459,-87.6073625,0
2014-02-09,18.542857142857144,4.869999999999999,0.0945,6.5,9.12857142857143,2.0,9.0,2014.0,3.642857142857143,41.94773228571428,-87.63088300000001,0
2014-03-06,17.502173913043478,0.5884782608695652,0.11121739130434782,3.5434782608695654,11.57391304347826,3.0,6.0,2014.0,11.608695652173912,41.8419165,-87.5826795,0
2014-03-07,17.642335766423358,1.4862773722627738,0.20517518248175184,3.934306569343066,10.595620437956203,3.0,7.0,2014.0,11.401459854014599,41.8547773649635,-87.59322716788321,0
2014-03-08,20.819791666666667,1.5737500000000002,0.11433333333333334,4.34375,10.977083333333333,3.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
2014-04-06,17.289130434782606,1.891304347826087,0.20765217391304347,3.1739130434782608,11.530434782608696,4.0,6.0,2014.0,11.304347826086957,41.8419165,-87.5826795,0
2014-04-07,18.52482269503546,0.9423404255319149,0.14815602836879432,3.595744680851064,10.575177304964539,4.0,7.0,2014.0,11.47517730496454,41.853706489361706,-87.5927189574468,0
2014-04-08,20.805208333333333,1.2042708333333334,0.10705208333333333,4.739583333333333,10.934375000000001,4.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
2014-05-06,17.90408163265306,2.4975510204081632,0.17948979591836733,3.061224489795918,11.485714285714284,5.0,6.0,2014.0,11.510204081632653,41.842986122448984,-87.58329997959183,0
2014-05-07,18.103521126760562,0.8797183098591549,0.13115492957746477,3.507042253521127,10.523239436619718,5.0,7.0,2014.0,11.612676056338028,41.85304761971831,-87.59241869014085,0
2014-05-08,21.496629213483146,1.608876404494382,0.1645955056179775,3.056179775280899,10.9,5.0,8.0,2014.0,12.179775280898877,41.89233130337079,-87.6077067752809,0
2014-05-21,27.1,0.74,0.013,10.0,12.6,21.0,5.0,2014.0,13.0,41.760147,-87.550081,0
2014-05-28,15.583333333333334,3.435416666666667,0.26095833333333335,3.7916666666666665,11.799999999999999,28.0,5.0,2014.0,17.5,41.8419165,-87.58267949999998,0
2014-05-29,15.519565217391303,3.879782608695652,0.22308695652173913,3.5,11.754347826086958,29.0,5.0,2014.0,12.0,41.8419165,-87.5826795,0
2014-05-30,16.368750000000002,3.2720833333333332,0.18120833333333333,2.9166666666666665,11.71875,30.0,5.0,2014.0,11.5,41.8419165,-87.58267949999998,0
2014-05-31,17.839583333333334,2.2739583333333333,0.1553125,2.8333333333333335,11.697916666666666,31.0,5.0,2014.0,11.5,41.8419165,-87.58267949999998,0
2014-06-06,18.669642857142858,1.0208928571428573,0.11769642857142858,3.0714285714285716,11.558928571428572,6.0,6.0,2014.0,12.607142857142858,41.84940385714286,-87.58702285714286,0
2014-06-07,17.086805555555557,1.0302777777777778,0.10338194444444444,3.8680555555555554,10.478472222222223,6.0,7.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
2014-06-08,22.052083333333332,3.7539583333333333,0.20709375,3.6354166666666665,10.880208333333334,6.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
2014-06-13,16.908450704225352,2.4415492957746476,0.14997887323943662,3.063380281690141,11.60281690140845,13.0,6.0,2014.0,11.485915492957746,41.85304761971831,-87.59241869014085,0
2014-06-14,17.186713286713285,1.7583216783216784,0.13715384615384615,3.2447552447552446,11.514685314685314,14.0,6.0,2014.0,11.41958041958042,41.85239796503497,-87.59212262237762,0
2014-06-15,17.337588652482268,1.6184397163120567,0.14774468085106385,3.404255319148936,11.44113475177305,15.0,6.0,2014.0,11.46808510638298,41.853706489361706,-87.5927189574468,0
2014-06-16,17.933571428571426,1.075357142857143,0.10991428571428571,3.95,11.393571428571429,16.0,6.0,2014.0,11.385714285714286,41.854374771428574,-87.59302351428572,0
