,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Day,Measurement Month,Measurement Year,Measurement Hour,Latitude,Longitude,class
0,22.55,4.3,0.2075,6.5,9.4,3.0,9.0,2013.0,9.5,41.804533500000005,-87.5702195,0
1,20.3,1.18,0.08,3.0,9.4,30.0,8.0,2013.0,8.0,41.969094,-87.638003,0
2,21.5,3.51,0.231,4.0,9.4,31.0,8.0,2013.0,23.0,41.987675,-87.651008,0
3,18.9,7.56,0.14,4.0,11.0,18.0,9.0,2013.0,10.0,41.784561,-87.571453,0
4,17.158333333333335,1.0045833333333334,0.1465833333333333,3.395833333333333,11.652083333333332,1.0,6.0,2014.0,11.5,41.8419165,-87.58267949999998,0
5,16.98141592920354,2.045575221238938,0.134433628318584,3.495575221238938,10.722123893805309,1.0,7.0,2014.0,10.04424778761062,41.857003477876106,-87.5938897699115,0
6,19.884375,2.3584375,0.1019062499999999,4.666666666666667,11.0625,1.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
7,20.116666666666667,8.458333333333334,0.1107291666666666,4.520833333333333,9.027083333333334,1.0,9.0,2014.0,11.5,41.931711,-87.625543,0
8,17.466666666666665,0.6585416666666667,0.1052083333333333,3.3125,11.616666666666667,2.0,6.0,2014.0,11.5,41.8419165,-87.58267949999998,0
9,16.740972222222222,1.425277777777778,0.1604027777777777,4.166666666666667,10.68125,2.0,7.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
10,20.693478260869565,2.0361956521739133,0.1354347826086956,3.804347826086957,11.007608695652175,2.0,8.0,2014.0,11.521739130434783,41.891459,-87.6073625,0
11,18.542857142857144,4.869999999999999,0.0945,6.5,9.12857142857143,2.0,9.0,2014.0,3.642857142857143,41.94773228571428,-87.63088300000001,0
12,17.502173913043478,0.5884782608695652,0.1112173913043478,3.5434782608695654,11.57391304347826,3.0,6.0,2014.0,11.608695652173912,41.8419165,-87.5826795,0
13,17.642335766423358,1.4862773722627738,0.2051751824817518,3.934306569343066,10.595620437956203,3.0,7.0,2014.0,11.4014598540146,41.8547773649635,-87.59322716788321,0
14,20.819791666666667,1.5737500000000002,0.1143333333333333,4.34375,10.977083333333333,3.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
15,17.289130434782606,1.891304347826087,0.2076521739130434,3.1739130434782608,11.530434782608696,4.0,6.0,2014.0,11.304347826086955,41.8419165,-87.5826795,0
16,18.52482269503546,0.9423404255319148,0.1481560283687943,3.595744680851064,10.57517730496454,4.0,7.0,2014.0,11.47517730496454,41.853706489361706,-87.5927189574468,0
17,20.805208333333333,1.2042708333333334,0.1070520833333333,4.739583333333333,10.934375,4.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
18,17.90408163265306,2.4975510204081632,0.1794897959183673,3.061224489795918,11.485714285714284,5.0,6.0,2014.0,11.510204081632653,41.84298612244898,-87.58329997959183,0
19,18.10352112676056,0.8797183098591549,0.1311549295774647,3.507042253521127,10.523239436619718,5.0,7.0,2014.0,11.612676056338028,41.85304761971831,-87.59241869014085,0
20,21.496629213483143,1.608876404494382,0.1645955056179775,3.056179775280899,10.9,5.0,8.0,2014.0,12.179775280898877,41.89233130337079,-87.6077067752809,0
21,27.1,0.74,0.013,10.0,12.6,21.0,5.0,2014.0,13.0,41.760147,-87.550081,0
22,15.583333333333334,3.435416666666667,0.2609583333333333,3.7916666666666665,11.8,28.0,5.0,2014.0,17.5,41.8419165,-87.58267949999998,0
23,15.519565217391303,3.879782608695652,0.2230869565217391,3.5,11.754347826086958,29.0,5.0,2014.0,12.0,41.8419165,-87.5826795,0
24,16.368750000000002,3.272083333333333,0.1812083333333333,2.9166666666666665,11.71875,30.0,5.0,2014.0,11.5,41.8419165,-87.58267949999998,0
25,17.839583333333334,2.2739583333333333,0.1553125,2.833333333333333,11.697916666666666,31.0,5.0,2014.0,11.5,41.8419165,-87.58267949999998,0
26,18.669642857142858,1.0208928571428573,0.1176964285714285,3.071428571428572,11.558928571428572,6.0,6.0,2014.0,12.607142857142858,41.84940385714286,-87.58702285714286,0
27,17.086805555555557,1.0302777777777778,0.1033819444444444,3.8680555555555554,10.478472222222225,6.0,7.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
28,22.05208333333333,3.753958333333333,0.20709375,3.6354166666666665,10.880208333333334,6.0,8.0,2014.0,11.5,41.891459000000005,-87.60736250000001,0
29,16.908450704225352,2.441549295774648,0.1499788732394366,3.063380281690141,11.60281690140845,13.0,6.0,2014.0,11.485915492957746,41.85304761971831,-87.59241869014085,0
30,17.186713286713285,1.7583216783216784,0.1371538461538461,3.244755244755245,11.514685314685314,14.0,6.0,2014.0,11.41958041958042,41.85239796503497,-87.59212262237762,0
31,17.337588652482268,1.6184397163120567,0.1477446808510638,3.404255319148936,11.44113475177305,15.0,6.0,2014.0,11.46808510638298,41.853706489361706,-87.5927189574468,0
32,17.933571428571426,1.075357142857143,0.1099142857142857,3.95,11.393571428571429,16.0,6.0,2014.0,11.385714285714286,41.854374771428574,-87.59302351428572,0
33,17.94326241134752,0.8731914893617022,0.1261985815602836,3.638297872340425,11.351773049645391,17.0,6.0,2014.0,11.4822695035461,41.853706489361706,-87.5927189574468,0
34,17.2531914893617,1.4695744680851064,0.1689007092198581,3.7163120567375887,11.301418439716311,18.0,6.0,2014.0,11.4822695035461,41.853706489361706,-87.5927189574468,0
35,17.245833333333334,2.2050694444444443,0.2263333333333333,3.305555555555556,11.227777777777778,19.0,6.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
36,17.88840579710145,1.1797826086956522,0.1743623188405797,3.0144927536231885,11.192028985507246,20.0,6.0,2014.0,11.434782608695652,41.85175733333333,-87.59183066666667,0
37,17.81240875912409,1.1078102189781025,0.1831459854014598,3.065693430656934,11.15912408759124,21.0,6.0,2014.0,11.124087591240876,41.85242602189781,-87.59213540875913,0
38,18.43958333333333,0.8713888888888889,0.1495625,2.888888888888889,11.129166666666666,22.0,6.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
39,18.821374045801527,0.706030534351145,0.118,3.404580152671756,11.091603053435117,23.0,6.0,2014.0,10.946564885496183,41.85245664885496,-87.59214936641222,0
40,19.454545454545453,0.5887412587412587,0.0953706293706293,4.370629370629371,11.067832167832169,24.0,6.0,2014.0,11.433566433566432,41.85239796503497,-87.59212262237762,0
41,19.458394160583943,1.3076642335766424,0.2251459854014598,3.6496350364963503,11.016788321167883,25.0,6.0,2014.0,11.496350364963504,41.85242602189781,-87.59213540875913,0
42,19.188111888111887,2.285734265734266,0.2146223776223776,3.9510489510489513,10.96223776223776,26.0,6.0,2014.0,11.503496503496503,41.85239796503497,-87.59212262237762,0
43,19.922916666666666,1.4364583333333334,0.1573472222222222,3.076388888888889,10.911111111111111,27.0,6.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
44,19.19929577464789,0.7752112676056337,0.1379929577464788,3.471830985915493,10.850704225352112,28.0,6.0,2014.0,11.485915492957746,41.85304761971831,-87.59241869014085,0
45,19.288111888111885,0.8566433566433567,0.1206573426573426,3.6503496503496495,10.827972027972027,29.0,6.0,2014.0,11.475524475524477,41.852715503496505,-87.59228153846155,0
46,17.407638888888886,0.8847222222222223,0.1204930555555555,3.8125,10.739583333333334,30.0,6.0,2014.0,11.5,41.85175733333333,-87.59183066666667,0
